deflatortype,Deflators,year
UG 2002,0.616924973,
HN 2000,0.616971422,
CA 2000,0.61736283,
ER 2013,0.617906209,
MO 2009,0.618057225,
CU 2001,0.618231356,
HN 2003,0.61828941,
VA 2002,0.61847466,
IT 2002,0.61847466,
IL 2004,0.618552741,
CD 2006,0.618568055,
KN 2003,0.618696224,
PH 2000,0.618732239,
TT 2002,0.618750706,
MK 2003,0.618755818,
CF 2004,0.6190536,
MN 2006,0.619141297,
AX 2002,0.61942454,
FI 2002,0.61942454,
NE 2003,0.619614338,
RS 1999,0.619750244,
PA 2005,0.619906175,
PL 2001,0.62078752,
UY 2007,0.620829668,
PR 1999,0.621106956,
EG 2003,0.621276153,
KH 1999,0.621481589,
DE 2000,0.62167581,
LS 1999,0.622012566,
SS 2020,0.622070006,
MO 2008,0.62242697,
ST 2005,0.622429901,
CU 1999,0.622507902,
MU 2001,0.622591298,
RW 2004,0.622777786,
FM 2002,0.622879368,
ES 2002,0.62288187,
SN 1999,0.623173055,
UY 2000,0.623567324,
TT 2000,0.623709838,
ZW 2009,0.62431727,
MO 2007,0.624592095,
IL 2005,0.624602717,
LB 2006,0.625228583,
EG 2005,0.62554034,
KZ 2005,0.625638105,
IN 2003,0.625745935,
CY 2002,0.626007876,
LB 2005,0.626133919,
LR 2006,0.626399383,
RW 2001,0.62658611,
PW 2000,0.626602838,
GQ 2004,0.626629761,
SV 1999,0.626756618,
TG 2002,0.626915873,
FM 2003,0.626938483,
MD 2009,0.627855474,
MY 2002,0.628060502,
PR 2000,0.6286809,
IE 1999,0.62874564,
BG 2004,0.628918228,
ES 1999,0.62892823,
PS 2004,0.629371706,
BT 2000,0.629377527,
PE 2004,0.62959426,
LC 2003,0.629715929,
CV 2002,0.630289654,
IS 1999,0.63067271,
GT 2007,0.630993436,
LA 2009,0.631077866,
PH 2005,0.631109755,
TT 2001,0.631421145,
KR 1999,0.63146925,
LK 2006,0.631502974,
CO 2004,0.631526519,
CU 2000,0.631712581,
ZA 1999,0.631813457,
EE 2005,0.631998728,
MU 2002,0.632154149,
FM 2001,0.632323447,
GN 2004,0.632436215,
GW 2006,0.633109183,
LB 2002,0.633243066,
XK 2003,0.633293935,
HT 2006,0.633360266,
KE 2007,0.633433212,
BR 2005,0.633757141,
SZ 2000,0.634752563,
SE 2001,0.63506104,
LA 2008,0.635078912,
CU 2002,0.635232529,
EU Institutions 2002,0.63569116,
GT 2009,0.635713331,
LU 2003,0.63651463,
PL 2002,0.63656703,
PS 2005,0.636595335,
TD 2003,0.636962951,
HN 2004,0.637304652,
KN 1999,0.637346189,
MN 2009,0.637814982,
SG 1999,0.637952305,
BT 2001,0.638431454,
MY 2000,0.639155328,
DO 1999,0.639191923,
CV 2000,0.639458371,
CM 1999,0.639910225,
KW 2004,0.64004927,
CI 2003,0.640244849,
SV 2000,0.640725651,
PA 2006,0.640735001,
EC 2006,0.640793348,
FM 2000,0.641709506,
BW 2000,0.641780294,
LB 2003,0.642036864,
UY 1999,0.642571934,
RO 2005,0.64277088,
ML 2005,0.643078124,
CW 1999,0.64411179,
DK 1999,0.64411179,
FO 1999,0.64411179,
GL 1999,0.64411179,
SX 1999,0.64411179,
RU 2005,0.644537269,
FM 2006,0.644727741,
DZ 2003,0.645167841,
KI 2003,0.645244591,
BA 2003,0.645340484,
VA 1999,0.64555554,
IT 1999,0.64555554,
KR 2002,0.64559112,
GM 2001,0.645685643,
NA 2003,0.645918921,
LY 2015,0.646038064,
BQ 2002,0.64617962,
NL 2002,0.64617962,
BD 2009,0.647539923,
LC 2005,0.647575581,
AF 2003,0.648060555,
KN 2002,0.648295187,
BT 1999,0.648486053,
VU 2004,0.648541289,
UZ 2004,0.648664424,
AT 1999,0.64869277,
JM 1999,0.649001678,
FM 2005,0.649433036,
IL 2006,0.649611897,
SB 2008,0.649859946,
KH 2005,0.649972603,
MU 1999,0.650808447,
MY 2003,0.651226848,
JM 2000,0.651979223,
NP 2009,0.652449352,
LC 2004,0.652507217,
DE 2002,0.6528948,
MH 1999,0.653251225,
PH 1999,0.653298879,
FM 2007,0.653509668,
BQ 1999,0.65378226,
NL 1999,0.65378226,
CL 2005,0.653827517,
KN 2001,0.653960679,
JM 2003,0.65404977,
SA 2005,0.654214449,
GW 2005,0.654492564,
AD 2002,0.65480003,
FR 2002,0.65480003,
GF 2002,0.65480003,
PF 2002,0.65480003,
TF 2002,0.65480003,
GP 2002,0.65480003,
MQ 2002,0.65480003,
YT 2002,0.65480003,
MC 2002,0.65480003,
NC 2002,0.65480003,
RE 2002,0.65480003,
BL 2002,0.65480003,
MF 2002,0.65480003,
PM 2002,0.65480003,
WF 2002,0.65480003,
LB 2004,0.654874011,
BE 1999,0.65498636,
MV 2006,0.655288676,
MT 2003,0.655582683,
MV 2009,0.656012443,
IL 2000,0.656271846,
ST 2009,0.656342916,
TH 2006,0.656395828,
PW 2002,0.657040131,
BO 2009,0.65725154,
GR 2002,0.65761676,
NE 2004,0.657684464,
PS 2003,0.657713137,
IS 2009,0.65832748,
